Time (volumes),Stimulus timing (faces),Stimulus prediction (faces),Stimulus prediction (objects),fMRI response (red),fMRI response (purple)
0,0,-1.45E-01,7.84E-02,-1.14362335,-1.97041321
1,0,-1.63E-01,6.83E-02,-1.17253876,-2.32092285
2,0,-1.80E-01,5.77E-02,-0.26091766,-1.83318329
3,0,-1.95E-01,4.67E-02,-0.50125885,-0.86521912
4,0,-2.09E-01,3.53E-02,-1.26044464,-0.9987793
5,0,-2.21E-01,2.36E-02,-1.2580719,-1.14984131
6,0,-2.32E-01,1.15E-02,-0.09326935,0.07195282
7,0,-2.41E-01,-7.86E-04,0.50666046,-0.52287292
8,1,-2.47E-01,-1.33E-02,0.09027863,-0.28787994
9,1,-1.87E-01,-2.59E-02,-0.09264374,-1.5521698
10,1,-1.39E-02,-3.85E-02,0.39855194,-1.97868347
11,1,2.03E-01,-5.11E-02,1.04354858,-0.9642868
12,1,3.92E-01,-6.36E-02,2.55657196,1.49951172
13,1,5.29E-01,-7.60E-02,2.45683289,5.25370789
14,1,6.17E-01,-8.83E-02,2.40894318,7.69258881
15,1,6.68E-01,-1.00E-01,1.95317078,6.87205505
16,0,6.95E-01,-1.12E-01,1.35421753,6.61170197
17,0,6.45E-01,-1.24E-01,1.37451935,4.23677826
18,0,4.75E-01,-1.35E-01,0.76037598,3.0791626
19,0,2.59E-01,-1.46E-01,-0.19944763,0.3328476
20,0,6.86E-02,-1.57E-01,-1.15670776,-1.72641754
21,0,-6.86E-02,-1.66E-01,-1.59208679,-4.29271698
22,0,-1.56E-01,-1.76E-01,-1.73634338,-5.04359436
23,0,-2.06E-01,-1.85E-01,-1.19702148,-4.92861938
24,0,-2.33E-01,-1.91E-01,-2.05303192,-5.59312439
25,0,-2.46E-01,-1.33E-01,-2.20880127,-5.17465973
26,0,-2.52E-01,3.87E-02,-1.19561005,-1.59615326
27,0,-2.54E-01,2.53E-01,-0.33246613,0.80049896
28,0,-2.54E-01,4.41E-01,0.38761902,2.43386078
29,0,-2.54E-01,5.76E-01,-0.24739838,4.31135559
30,0,-2.53E-01,6.61E-01,-0.30498505,2.92074585
31,0,-2.52E-01,7.09E-01,0.14595795,2.98394012
32,0,-2.52E-01,7.32E-01,-0.06494141,4.712677
33,0,-2.51E-01,6.79E-01,0.33688354,6.28483582
34,0,-2.51E-01,5.05E-01,0.68003845,6.26581573
35,0,-2.51E-01,2.86E-01,-0.27571106,4.25853729
36,0,-2.52E-01,9.25E-02,-0.87462616,0.84160614
37,0,-2.52E-01,-4.77E-02,-1.35172272,-3.52577209
38,0,-2.52E-01,-1.38E-01,-1.69083405,-5.56794739
39,0,-2.53E-01,-1.91E-01,-0.59252167,-5.35297394
40,1,-2.51E-01,-2.20E-01,-2.22810364,-5.97290802
41,1,-1.86E-01,-2.35E-01,-0.98519135,-7.10631561
42,1,-7.88E-03,-2.43E-01,0.70423126,-2.80052185
43,1,2.13E-01,-2.47E-01,1.14165497,-0.81746674
